1: EL14_CMN_0001	GMW_CMN_20100929.0076	陕北公学	E0278626	
139: EL14_CMN_0139	bolt-cmn-DF-205-185863-581079	小辣椒	NIL0100	
140: EL14_CMN_0140	CNS_CMN_20100819.0319	德国	E0595006	
141: EL14_CMN_0141	AFP_ENG_20090706.0135	foreign ministry	NIL0101	
142: EL14_CMN_0142	bolt-cmn-DF-20-191611-3875389	马	E0362914	
143: EL14_CMN_0143	bolt-cmn-DF-205-185863-587125	美联社	E0601466	
144: EL14_CMN_0144	bolt-cmn-DF-182-192249-6411887	中国社会科学院	E0529290	
145: EL14_CMN_0145	XIN_CMN_20071011.0262	育才	NIL0102	
146: EL14_CMN_0146	GMW_CMN_20091027.0105	于谦	NIL0103	
147: EL14_CMN_0147	bolt-cmn-DF-20-191622-4026770	阿盟	E0146256	
148: EL14_CMN_0148	bolt-cmn-DF-21-181074-2172	北卡	NIL0104	
149: EL14_CMN_0149	bolt-cmn-DF-196-185692-2813744	安吉丽娜-朱莉	NIL0105	
150: EL14_CMN_0150	XIN_CMN_20031030.0216	乾隆皇帝	E0251057	
151: EL14_CMN_0151	PDA_CMN_20071206.0046	爱荷华	NIL0106	
152: EL14_CMN_0152	bolt-cmn-DF-182-192231-4919881	郑少秋	E0358739	
153: EL14_CMN_0153	CNS_CMN_20100424.0142	妇幼保健院	NIL0107	
154: EL14_CMN_0154	PDA_CMN_20080809.0055	大使馆	NIL0108	
155: EL14_CMN_0155	XIN_CMN_20070425.0053	和平	NIL0109	
156: EL14_CMN_0156	PDA_CMN_20080115.0266	隆安	NIL0110	
157: EL14_CMN_0157	bolt-eng-DF-199-192783-6877516	reuter	NIL0111	
158: EL14_CMN_0158	bolt-cmn-DF-196-185692-2817663	小甜甜	NIL0112	
159: EL14_CMN_0159	bolt-cmn-DF-20-191610-15137052	常凯申	NIL0113	
160: EL14_CMN_0160	bolt-cmn-DF-182-192231-4919216	汤姆·克鲁斯	E0182077	
161: EL14_CMN_0161	CNS_CMN_20091209.0670	威廉姆斯	NIL0114	
162: EL14_CMN_0162	XIN_CMN_19910606.0134	昌邑	NIL0115	
163: EL14_CMN_0163	bolt-cmn-DF-196-185692-2812728	布兰妮	NIL0116	
164: EL14_CMN_0164	bolt-eng-DF-200-192451-5796614	Somalia	NIL0117	
165: EL14_CMN_0165	CNS_CMN_20090911.0055	飞人陛下	NIL0118	
166: EL14_CMN_0166	XIN_CMN_20030904.0063	外交部	NIL0119	
167: EL14_CMN_0167	bolt-cmn-DF-182-192249-6420275	新疆维吾尔自治区	E0034587	
168: EL14_CMN_0168	bolt-cmn-DF-205-185872-1189771	“老虎”伍兹	NIL0120	
169: EL14_CMN_0169	XIN_CMN_20081129.0137	吉林	E0185864	
170: EL14_CMN_0170	APW_ENG_20100714.1274	Shaquille O'Neal	E0312888	
171: EL14_CMN_0171	CNS_CMN_20100312.0881	田地	NIL0121	
172: EL14_CMN_0172	bolt-cmn-DF-20-191613-3837491	陈老总	NIL0122	
173: EL14_CMN_0173	PDA_CMN_20100604.0194	海南	E0540691	
174: EL14_CMN_0174	CNS_CMN_20101122.0379	圣保罗	NIL0123	
175: EL14_CMN_0175	XIN_ENG_20091124.0264	Cincinnati Children's Hospital	NIL0124	
176: EL14_CMN_0176	bolt-cmn-DF-196-185723-2494541	奥观海	NIL0125	
177: EL14_CMN_0177	CNS_CMN_20101105.0547	金川	NIL0126	
178: EL14_CMN_0178	bolt-cmn-DF-211-187152-4454090	温宝宝	NIL0127	
179: EL14_CMN_0179	XIN_CMN_20101009.0117	大卫·贝克汉姆	E0172970	
180: EL14_CMN_0180	bolt-cmn-DF-20-191610-2207120	李得胜	NIL0128	
181: EL14_CMN_0181	AFP_ENG_20090805.0372	embassy	NIL0129	
182: EL14_CMN_0182	XIN_CMN_19921222.0007	施大爷	NIL0130	
183: EL14_CMN_0183	XIN_CMN_19930420.0064	衣阿华	NIL0131	
184: EL14_CMN_0184	bolt-cmn-DF-205-185863-592461	毛太祖	NIL0132	
185: EL14_CMN_0185	XIN_CMN_19960322.0139	大同	NIL0133	
186: EL14_CMN_0186	XIN_CMN_20041016.0146	永安	NIL0134	
187: EL14_CMN_0187	AFP_CMN_20101213.0049	Minneapolis	NIL0135	
188: EL14_CMN_0188	PDA_CMN_20080507.0093	印第安纳	NIL0136	
189: EL14_CMN_0189	XIN_ENG_20100306.0237	Bo Xilai	NIL0137	
190: EL14_CMN_0190	CNS_CMN_20100926.0257	残联	NIL0138	
191: EL14_CMN_0191	XIN_CMN_20090923.0035	亚特兰大	NIL0139	
192: EL14_CMN_0192	XIN_CMN_19960706.0041	朱德	E0128070	
193: EL14_CMN_0193	XIN_CMN_20060810.0043	山姆会员店	NIL0140	
194: EL14_CMN_0194	XIN_CMN_19950626.0024	海阳	NIL0141	
195: EL14_CMN_0195	CNS_CMN_20090911.0056	篮球之神	NIL0142	
196: EL14_CMN_0196	bolt-cmn-DF-182-192231-4916332	Ladygaga	NIL0143	
197: EL14_CMN_0197	bolt-cmn-DF-196-185692-2811806	马景涛	NIL0144	
198: EL14_CMN_0198	XIN_CMN_20050921.0121	少帅	NIL0145	
199: EL14_CMN_0199	XIN_CMN_19970824.0042	单马锡	NIL0146	
200: EL14_CMN_0200	NYT_ENG_20100426.0166	Vladimir V. Putin	NIL0147	
201: EL14_CMN_0203	XIN_CMN_20060831.0111	总工会	NIL0148	
202: EL14_CMN_0201	XIN_CMN_19951119.0048	医科大学	NIL0149	
203: EL14_CMN_0202	bolt-cmn-DF-211-187152-4425809	麦蒂	E0668453	
204: EL14_CMN_0204	XIN_CMN_20060427.0030	怡和	NIL0150	
205: EL14_CMN_0205	XIN_CMN_20040612.0057	达契亚	NIL0151	
206: EL14_CMN_0206	bolt-cmn-DF-20-191610-2216887	刘委员	NIL0152	
207: EL14_CMN_0207	XIN_ENG_20090914.0280	Chiang Kai-shek	NIL0153	
208: EL14_CMN_0208	bolt-cmn-DF-196-185735-15891368	张国荣	E0807713	
209: EL14_CMN_0209	XIN_CMN_20011124.0005	南洋公学	NIL0154	
210: EL14_CMN_0210	bolt-cmn-DF-196-185692-2813147	马景涛	NIL0155	
211: EL14_CMN_0211	PDA_CMN_20070420.0065	汉卿	NIL0156	
212: EL14_CMN_0212	XIN_CMN_19940907.0281	师范大学	NIL0157	
213: EL14_CMN_0213	bolt-cmn-DF-182-192231-4921119	范爷	NIL0158	
214: EL14_CMN_0214	CNS_CMN_20100910.0290	总工会	NIL0159	
215: EL14_CMN_0215	AFP_ENG_20100516.0534	Vancouver	NIL0160	
216: EL14_CMN_0216	PDA_CMN_20080602.0305	平顺	NIL0161	
217: EL14_CMN_0217	XIN_CMN_20040805.0256	妇幼保健院	NIL0162	
218: EL14_CMN_0218	bolt-cmn-DF-20-191611-3873175	美女总理	NIL0163	
219: EL14_CMN_0219	APW_ENG_20090721.0965	Paris	E0803206	
220: EL14_CMN_0220	bolt-cmn-DF-182-192255-6448638	杨太真	NIL0164	
221: EL14_CMN_0221	APW_ENG_20090612.0635	Prince Charles	NIL0165	
222: EL14_CMN_0222	XIN_CMN_19960408.0072	交大	E0354952	
223: EL14_CMN_0223	XIN_CMN_20030321.0051	三藩市	NIL0166	
224: EL14_CMN_0224	bolt-cmn-DF-205-185863-586574	李老夫子	NIL0167	
225: EL14_CMN_0225	bolt-cmn-DF-211-187123-5120758	安吉丽娜朱莉	NIL0168	
226: EL14_CMN_0226	bolt-cmn-DF-182-192231-4930679	哈莉·贝瑞	E0288908	
227: EL14_CMN_0227	AFP_ENG_20100203.0470	Wyeth	NIL0169	
228: EL14_CMN_0228	AFP_CMN_20040719.0049	翁山苏姬	NIL0170	
229: EL14_CMN_0229	AFP_CMN_20100111.0011	坦帕	NIL0171	
230: EL14_CMN_0230	GMW_CMN_20101025.0075	清华大学	E0076817	
231: EL14_CMN_0231	bolt-eng-DF-199-192958-5885606	Seattle	E0527055	
232: EL14_CMN_0232	CNS_CMN_20100826.0485	羊城	E0205605	
233: EL14_CMN_0233	bolt-cmn-DF-182-192231-4910362	范冰冰	E0352182	
234: EL14_CMN_0234	PDA_CMN_20101029.0025	万峰	NIL0172	
235: EL14_CMN_0235	CNS_CMN_20100830.0118	江青	E0796011	
236: EL14_CMN_0236	PDA_CMN_20070313.0139	约瑟夫・斯大林	NIL0173	
237: EL14_CMN_0237	CNS_CMN_20100819.0453	妇幼保健院	NIL0174	
238: EL14_CMN_0238	CNS_CMN_20101017.0128	白云	NIL0175	
239: EL14_CMN_0239	XIN_ENG_20101231.0156	Missouri	NIL0176	
240: EL14_CMN_0240	bolt-cmn-DF-211-187152-4445107	刘翔	NIL0177	
241: EL14_CMN_0241	bolt-cmn-DF-196-185667-2993638	社科院	NIL0178	
242: EL14_CMN_0242	XIN_CMN_20000706.0018	塞・威廉 姆斯	NIL0179	
243: EL14_CMN_0243	bolt-cmn-DF-211-187115-4405030	宋庆龄	E0487361	
244: EL14_CMN_0244	APW_ENG_20101101.0033	George W. Bush	E0819391	
245: EL14_CMN_0245	bolt-cmn-DF-196-185692-2818663	马景涛	NIL0180	
246: EL14_CMN_0246	XIN_CMN_19950707.0183	妇幼保建院	NIL0181	
247: EL14_CMN_0247	XIN_CMN_19990520.0110	东安	NIL0182	
248: EL14_CMN_0248	bolt-cmn-DF-182-192231-4904263	GAGA	NIL0183	
249: EL14_CMN_0249	XIN_CMN_20061030.0189	郝董	NIL0184	
250: EL14_CMN_0250	bolt-cmn-DF-196-185692-2818250	黑珍珠	NIL0185	
251: EL14_CMN_0251	AFP_CMN_20091031.0030	The University of Tokyo	NIL0186	
252: EL14_CMN_0252	XIN_ENG_20100515.0018	embassy	NIL0187	
253: EL14_CMN_0253	bolt-cmn-DF-20-191613-3834856	皖	E0621181	
254: EL14_CMN_0254	XIN_CMN_20081122.0208	秀英	NIL0188	
255: EL14_CMN_0255	PDA_CMN_20100824.0198	功夫皇帝	NIL0189	
256: EL14_CMN_0256	bolt-cmn-DF-20-191611-3859341	中国科学院	NIL0190	
257: EL14_CMN_0257	bolt-cmn-DF-205-185863-148050	马三不	NIL0191	
258: EL14_CMN_0258	CNA_CMN_20100317.0025	Indianapolis	NIL0192	
259: EL14_CMN_0259	bolt-cmn-DF-211-187144-4886267	MJ	NIL0193	
260: EL14_CMN_0260	bolt-cmn-DF-205-185862-196385	作协	NIL0194	
261: EL14_CMN_0261	bolt-cmn-DF-211-187119-4773627	麦当娜	E0275101	
262: EL14_CMN_0262	bolt-cmn-DF-21-181074-2172	Wyo	NIL0195	
263: EL14_CMN_0263	CNS_CMN_20101028.0519	尉迟敬德	NIL0196	
264: EL14_CMN_0264	AFP_ENG_20091203.0323	Netherlands	E0042497	
265: EL14_CMN_0265	bolt-cmn-DF-21-181074-2172	利比亚	E0658319	
266: EL14_CMN_0266	CNS_CMN_20100126.0396	永兴	NIL0197	
267: EL14_CMN_0267	XIN_CMN_20070323.0115	外交部	NIL0198	
268: EL14_CMN_0268	AFP_CMN_20100111.0011	Fort Lauderdale	NIL0199	
269: EL14_CMN_0269	bolt-cmn-DF-196-185661-3109334	乔丹	E0643253	
270: EL14_CMN_0270	XIN_CMN_20050409.0103	乔治亚	E0583169	
271: EL14_CMN_0271	PDA_CMN_20101116.0369	宋嘉树	NIL0200	
272: EL14_CMN_0272	PDA_CMN_20100305.0295	开封	E0546423	
273: EL14_CMN_0273	bolt-cmn-DF-205-185858-1359978	薄熙来	E0259846	
274: EL14_CMN_0274	APW_ENG_20100401.0631	TOPEKA	NIL0201	
275: EL14_CMN_0275	XIN_CMN_20101018.0171	埃克森美孚	E0431744	
276: EL14_CMN_0276	GMW_CMN_20101008.0043	平顺	NIL0202	
277: EL14_CMN_0277	PDA_CMN_20070120.0101	岩里正男	NIL0203	
278: EL14_CMN_0278	XIN_CMN_20050602.0070	外交部	NIL0204	
279: EL14_CMN_0279	XIN_ENG_20100726.0427	ACFTU	NIL0205	
280: EL14_CMN_0280	GMW_CMN_20091106.0150	广安	NIL0206	
281: EL14_CMN_0281	AFP_ENG_20090706.0736	Washington	NIL0207	
282: EL14_CMN_0282	PDA_CMN_20080201.0241	东港	NIL0208	
283: EL14_CMN_0283	XIN_CMN_20060810.0043	沃尔玛	NIL0209	
284: EL14_CMN_0284	XIN_CMN_19980429.0110	京师大学堂	NIL0210	
285: EL14_CMN_0285	bolt-cmn-DF-211-187152-4427845	菲尔普斯	E0318992	
286: EL14_CMN_0286	PDA_CMN_20080612.0049	平江	E0484373	
287: EL14_CMN_0287	XIN_CMN_19940907.0281	师范大学	NIL0211	
288: EL14_CMN_0288	PDA_CMN_20080605.0140	文联	NIL0212	
289: EL14_CMN_0289	bolt-cmn-DF-205-185872-1189201	陈老师	NIL0213	
290: EL14_CMN_0290	AFP_CMN_20100318.0048	维拉诺瓦 大学	NIL0214	
291: EL14_CMN_0291	bolt-eng-DF-212-191668-3061903	Guangxi	NIL0215	
292: EL14_CMN_0292	bolt-cmn-DF-182-192231-4929347	奶茶	E0419385	
293: EL14_CMN_0293	CNA_CMN_20100402.0240	安平	E0776464	
294: EL14_CMN_0294	XIN_CMN_20071019.0169	外交部	NIL0216	
295: EL14_CMN_0295	XIN_CMN_19970821.0161	文联	NIL0217	
296: EL14_CMN_0296	APW_ENG_20100524.0915	Vermont	NIL0218	
297: EL14_CMN_0297	APW_ENG_20090707.0624	Boeing Co.	NIL0219	
298: EL14_CMN_0298	XIN_CMN_19930625.0214	儿童医院	NIL0220	
299: EL14_CMN_0299	bolt-cmn-DF-196-185667-3002356	美国联合通讯社	E0601466	
300: EL14_CMN_0300	bolt-cmn-DF-196-185692-2811040	老谋子	NIL0221	
301: EL14_CMN_0301	bolt-cmn-DF-182-192231-21933885	赵薇	E0073283	
302: EL14_CMN_0302	bolt-cmn-DF-196-185667-2995455	金正日	E0146789	
303: EL14_CMN_0303	AFP_CMN_20040820.0045	儿童医院	NIL0222	
304: EL14_CMN_0304	CNS_CMN_20100910.0510	史蒂夫·保罗·乔布斯	NIL0223	
305: EL14_CMN_0305	bolt-cmn-DF-196-185723-2496678	哈达威	NIL0224	
306: EL14_CMN_0306	XIN_ENG_20091202.0082	embassy	NIL0225	
307: EL14_CMN_0307	bolt-cmn-DF-211-187112-3813468	艾森豪威尔	E0212023	
308: EL14_CMN_0308	XIN_CMN_19940907.0281	师范大 学	NIL0226	
309: EL14_CMN_0309	bolt-cmn-DF-205-185859-136489	金正云	NIL0227	
310: EL14_CMN_0310	bolt-cmn-DF-216-192653-6954938	桂	NIL0228	
311: EL14_CMN_0311	PDA_CMN_20100817.0141	联合健康集团	NIL0229	
312: EL14_CMN_0312	bolt-cmn-DF-205-185872-1171744	ANGELINA JOLIE	NIL0230	
313: EL14_CMN_0313	bolt-cmn-DF-196-185692-2812687	跳水王子	NIL0231	
314: EL14_CMN_0314	XIN_CMN_20050531.0084	法国	E0550909	
315: EL14_CMN_0315	AFP_CMN_20010609.0017	高棉	E0747978	
316: EL14_CMN_0316	XIN_CMN_20021211.0102	青联	NIL0232	
317: EL14_CMN_0317	XIN_CMN_19930703.0169	医科大学	NIL0233	
318: EL14_CMN_0318	bolt-cmn-DF-216-192653-6966871	青	NIL0234	
319: EL14_CMN_0319	AFP_CMN_20010213.0030	IBM	E0595117	
320: EL14_CMN_0320	CNS_CMN_20100422.0073	惠普	E0669850	
321: EL14_CMN_0321	AFP_CMN_20100318.0048	Kansas State University	NIL0235	
322: EL14_CMN_0322	XIN_ENG_20100806.0298	BTV	NIL0236	
323: EL14_CMN_0323	APW_ENG_20100811.0077	Colorado	E0433287	
324: EL14_CMN_0324	bolt-cmn-DF-205-185863-602223	蒋夫人	NIL0237	
325: EL14_CMN_0325	bolt-cmn-DF-182-192231-4930626	赵薇	E0073283	
326: EL14_CMN_0326	PDA_CMN_20061115.0295	国父	E0530774	
327: EL14_CMN_0327	APW_ENG_20090707.0833	Embassy	NIL0238	
328: EL14_CMN_0328	CNS_CMN_20100617.0489	锡城	NIL0239	
329: EL14_CMN_0329	XIN_CMN_19940907.0281	师范大学	NIL0240	
330: EL14_CMN_0330	APW_ENG_20090830.0346	Taro Aso	NIL0241	
331: EL14_CMN_0331	XIN_CMN_20011230.0040	残联	NIL0242	
332: EL14_CMN_0332	PDA_CMN_20070903.0016	侨联	NIL0243	
